"seq","datetime","code","action","amount"
"1","1460796965","BOND","up","5"
"2","1460796965","PONZ","down","10"
"3","1460796965","EBD","up","5"
"4","1460796965","BP","up","20"
"5","1460796966","EBD","div","10"
"6","1460796966","PONZ","down","20"
"7","1460796967","TEL","up","5"
"8","1460796967","EBD","up","20"
"9","1460796968","PONZ","up","10"
"10","1460796969","TECH","down","20"
"11","1460796969","BP","down","20"
"12","1460796969","BP","up","5"
"13","1460796970","PONZ","up","20"
"14","1460796970","PONZ","div","5"
"15","1460796970","PONZ","div","20"
"16","1460796970","EBD","down","10"
"17","1460796971","TECH","down","10"
"18","1460796972","BOND","down","5"
"19","1460796972","PONZ","down","5"
"20","1460796973","EBD","up","20"
"21","1460796973","PONZ","down","10"
"22","1460796974","EBD","up","10"
"23","1460796974","TECH","up","10"
"24","1460796974","TECH","div","5"
"25","1460796974","EBD","div","10"
"26","1460796975","EBD","down","20"
"27","1460796975","BP","down","5"
"28","1460796976","TECH","up","20"
"29","1460796976","BOND","down","10"
"30","1460796976","PONZ","down","20"
"31","1460796978","HD","up","20"
"32","1460796978","BP","div","5"
"33","1460796978","PONZ","down","5"
"34","1460796978","EBD","down","5"
"35","1460796978","BOND","down","20"
"36","1460796979","HD","down","5"
"37","1460796979","EBD","down","10"
"38","1460796979","BP","down","20"
"39","1460796979","TECH","up","10"
"40","1460796980","PONZ","down","10"
"41","1460796980","EBD","up","5"
"42","1460796980","BP","down","20"
"43","1460796980","EBD","div","5"
"44","1460796981","BP","up","20"
"45","1460796981","EBD","down","10"
"46","1460796982","HD","up","5"
"47","1460796982","EBD","down","10"
"48","1460796982","EBD","down","10"
"49","1460796983","BOND","up","20"
"50","1460796983","BOND","up","5"
"51","1460796983","PONZ","down","10"
"52","1460796984","TECH","down","5"
"53","1460796985","EBD","up","20"
"54","1460796985","EBD","down","5"
"55","1460796985","PONZ","down","5"
"56","1460796985","PONZ","div","20"
"57","1460796986","HD","div","5"
"58","1460796986","PONZ","up","10"
"59","1460796986","PONZ","up","10"
"60","1460796986","PONZ","up","5"
"61","1460796987","BP","up","20"
"62","1460796987","EBD","down","20"
"63","1460796987","BOND","div","10"
"64","1460796987","BP","up","5"
"65","1460796987","PONZ","down","20"
"66","1460796988","TEL","up","20"
"67","1460796989","PONZ","up","20"
"68","1460796989","TEL","div","20"
"69","1460796989","TECH","up","5"
"70","1460796990","BP","down","5"
"71","1460796990","BOND","down","10"
"72","1460796990","PONZ","up","5"
"73","1460796990","BP","up","5"
"74","1460796991","HD","up","5"
"75","1460796991","EBD","div","20"
"76","1460796993","PONZ","up","20"
"77","1460796994","EBD","up","20"
"78","1460796995","BP","div","20"
"79","1460796995","EBD","up","5"
"80","1460796996","BP","down","20"
"81","1460796997","PONZ","up","5"
"82","1460796997","PONZ","up","10"
"83","1460796997","TECH","div","5"
"84","1460796998","PONZ","div","20"
"85","1460796998","TEL","div","20"
"86","1460796998","EBD","div","10"
"87","1460796998","BOND","div","10"
"88","1460796998","TECH","up","20"
"89","1460796998","PONZ","down","5"
"90","1460796998","PONZ","down","5"
"91","1460796999","HD","up","5"
"92","1460796999","EBD","up","10"
"93","1460797000","PONZ","div","20"
"94","1460797000","PONZ","up","5"
"95","1460797000","EBD","down","10"
"96","1460797001","PONZ","down","20"
"97","1460797002","EBD","down","20"
"98","1460797003","TECH","div","20"
"99","1460797003","PONZ","up","5"
"100","1460797003","EBD","up","10"
"101","1460797003","EBD","up","5"
"102","1460797004","BP","down","20"
"103","1460797004","BP","up","20"
"104","1460797005","BP","div","5"
"105","1460797007","BOND","div","20"
"106","1460797007","TECH","up","20"
"107","1460797007","EBD","down","10"
"108","1460797007","EBD","div","5"
"109","1460797007","EBD","down","20"
"110","1460797008","BP","div","10"
"111","1460797008","EBD","up","20"
"112","1460797009","BP","div","10"
"113","1460797009","TECH","up","10"
"114","1460797009","PONZ","up","20"
"115","1460797009","EBD","div","5"
"116","1460797011","TEL","up","10"
"117","1460797011","BOND","div","20"
"118","1460797012","BP","down","10"
"119","1460797012","EBD","up","10"
"120","1460797013","BP","div","10"
"121","1460797013","BP","down","10"
"122","1460797013","BP","down","5"
"123","1460797014","TECH","down","5"
"124","1460797015","BP","down","10"
"125","1460797015","BP","down","20"
"126","1460797015","BP","down","10"
"127","1460797015","EBD","div","20"
"128","1460797016","PONZ","div","20"
"129","1460797016","TECH","up","20"
"130","1460797017","TECH","up","20"
"131","1460797017","BOND","up","5"
"132","1460797017","EBD","up","5"
"133","1460797018","BP","up","20"
"134","1460797018","BP","up","20"
"135","1460797019","HD","down","10"
"136","1460797020","EBD","down","20"
"137","1460797020","BP","down","10"
"138","1460797021","EBD","down","5"
"139","1460797021","BP","down","20"
"140","1460797021","TECH","div","5"
"141","1460797021","BP","down","5"
"142","1460797021","BP","div","10"
"143","1460797022","PONZ","up","20"
"144","1460797022","PONZ","down","5"
"145","1460797024","PONZ","down","5"
"146","1460797024","TECH","div","10"
"147","1460797025","PONZ","up","10"
"148","1460797025","PONZ","div","20"
"149","1460797026","EBD","up","5"
"150","1460797026","TECH","div","5"
"151","1460797026","TECH","down","20"
"152","1460797026","BP","up","5"
"153","1460797027","BP","div","5"
"154","1460797028","EBD","up","20"
"155","1460797030","BOND","up","10"
"156","1460797030","EBD","down","10"
"157","1460797030","EBD","up","10"
"158","1460797030","PONZ","down","20"
"159","1460797031","PONZ","div","5"
"160","1460797031","PONZ","up","20"
"161","1460797031","EBD","up","5"
"162","1460797031","BP","div","10"
"163","1460797031","EBD","div","20"
"164","1460797034","BOND","div","20"
"165","1460797035","BP","up","20"
"166","1460797036","BOND","down","10"
"167","1460797036","HD","div","5"
"168","1460797036","PONZ","up","5"
"169","1460797038","BP","down","5"
"170","1460797039","BOND","down","10"
"171","1460797039","PONZ","div","10"
"172","1460797040","BOND","down","10"
"173","1460797041","BP","div","10"
"174","1460797041","EBD","div","5"
"175","1460797042","PONZ","down","20"
"176","1460797042","EBD","div","5"
"177","1460797042","EBD","down","10"
"178","1460797043","HD","up","10"
"179","1460797043","TECH","down","10"
"180","1460797045","PONZ","div","20"
"181","1460797045","PONZ","up","10"
"182","1460797046","BOND","up","5"
"183","1460797046","TEL","up","10"
"184","1460797046","BP","down","5"
"185","1460797046","BP","div","5"
"186","1460797046","EBD","div","20"
"187","1460797046","BP","div","20"
"188","1460797047","TECH","up","20"
"189","1460797047","BP","up","10"
"190","1460797047","PONZ","div","5"
"191","1460797047","EBD","down","10"
"192","1460797047","EBD","down","20"
"193","1460797048","EBD","down","10"
"194","1460797048","PONZ","up","10"
"195","1460797048","PONZ","down","5"
"196","1460797049","EBD","div","20"
"197","1460797049","PONZ","up","10"
"198","1460797049","EBD","down","10"
"199","1460797050","PONZ","down","10"
"200","1460797050","PONZ","up","10"
"201","1460797050","PONZ","div","10"
"202","1460797051","EBD","down","10"
"203","1460797052","PONZ","div","20"
"204","1460797052","BP","down","10"
"205","1460797052","BP","up","20"
"206","1460797053","EBD","div","5"
"207","1460797053","BP","up","10"
"208","1460797053","BP","up","5"
"209","1460797055","TEL","div","5"
"210","1460797055","EBD","div","20"
"211","1460797058","PONZ","div","5"
"212","1460797059","PONZ","down","5"
"213","1460797060","HD","down","20"
"214","1460797060","PONZ","up","20"
"215","1460797060","BOND","down","20"
"216","1460797061","EBD","down","5"
"217","1460797061","EBD","div","20"
"218","1460797062","BP","down","20"
"219","1460797063","BP","up","5"
"220","1460797064","PONZ","down","10"
"221","1460797064","BP","down","10"
"222","1460797065","TECH","div","10"
"223","1460797066","HD","up","5"
"224","1460797066","EBD","down","10"
"225","1460797067","BP","down","20"
"226","1460797068","PONZ","up","10"
"227","1460797070","TECH","up","20"
"228","1460797070","EBD","up","20"
"229","1460797070","BP","up","10"
"230","1460797070","PONZ","down","20"
"231","1460797071","TEL","div","10"
"232","1460797071","BP","div","20"
"233","1460797071","EBD","down","10"
"234","1460797073","HD","down","5"
"235","1460797073","BOND","up","5"
"236","1460797074","HD","down","5"
"237","1460797074","PONZ","down","10"
"238","1460797074","PONZ","div","5"
"239","1460797074","PONZ","down","5"
"240","1460797075","BP","up","10"
"241","1460797075","EBD","div","10"
"242","1460797075","BP","down","5"
"243","1460797075","BP","down","10"
"244","1460797076","BOND","div","10"
"245","1460797076","BOND","up","10"
"246","1460797076","EBD","div","20"
"247","1460797076","BP","down","5"
"248","1460797076","EBD","up","20"
"249","1460797077","BP","down","5"
"250","1460797077","PONZ","down","20"
"251","1460797077","EBD","down","10"
"252","1460797078","EBD","down","10"
"253","1460797078","BP","down","5"
"254","1460797079","BP","down","20"
"255","1460797079","PONZ","up","5"
"256","1460797079","BP","div","10"
"257","1460797079","PONZ","div","5"
"258","1460797080","BP","up","5"
"259","1460797080","BOND","div","5"
"260","1460797080","PONZ","up","10"
"261","1460797081","BOND","down","20"
"262","1460797081","EBD","up","20"
"263","1460797081","TECH","div","20"
"264","1460797081","EBD","down","10"
"265","1460797082","EBD","div","20"
"266","1460797082","BP","down","20"
"267","1460797083","BP","down","20"
"268","1460797083","EBD","down","20"
"269","1460797083","PONZ","down","5"
"270","1460797084","BP","up","10"
"271","1460797084","BP","div","20"
"272","1460797085","EBD","div","5"
"273","1460797086","TECH","div","5"
"274","1460797087","BOND","down","5"
"275","1460797087","PONZ","down","10"
"276","1460797087","BP","div","20"
"277","1460797087","BP","down","10"
"278","1460797088","EBD","down","10"
"279","1460797088","TECH","div","10"
"280","1460797088","EBD","up","20"
"281","1460797090","EBD","down","10"
"282","1460797090","TECH","up","5"
"283","1460797090","PONZ","up","10"
"284","1460797091","EBD","down","10"
"285","1460797091","BOND","up","5"
"286","1460797091","EBD","up","5"
"287","1460797091","BP","up","20"
"288","1460797092","PONZ","down","5"
"289","1460797092","BOND","div","20"
"290","1460797093","PONZ","down","10"
"291","1460797093","PONZ","down","10"
"292","1460797093","PONZ","down","5"
"293","1460797094","BP","up","20"
"294","1460797094","TEL","div","20"
"295","1460797094","PONZ","down","5"
"296","1460797095","EBD","div","5"
"297","1460797095","EBD","up","10"
"298","1460797095","EBD","down","10"
"299","1460797095","BP","div","20"
"300","1460797096","BOND","div","5"
"301","1460797096","PONZ","up","10"
"302","1460797097","TEL","up","20"
"303","1460797098","EBD","up","10"
"304","1460797098","PONZ","down","20"
"305","1460797099","BP","up","10"
